Monads.WPC                                             0.221     1.803     0.000
Lib.Find_Names                                         0.219     0.640     0.000
Lib.Repeat_Attribute                                   0.211     0.915     0.000
ML_Utils.TermPatternAntiquote                          0.204     0.606     0.000
Lib.Named_Eta                                          0.204     0.894     0.000
DSpec.Asid_D                                           0.194     0.450     0.000
Lib.Locale_Abbrev                                      0.192     0.829     0.000
DSpec.Schedule_D                                       0.134     0.497     0.000
Lib.Eval_Bool                                          0.131     1.047     0.000
Lib.Try_Methods                                        0.096     0.765     0.000
--------------------------------------------------------------------------------
TOTAL                                                177.234   592.161    16.529

--- AInvs  (119 theories) ---
theory                                                elapsed(s)     cpu(s)     gc(s)
--------------------------------------------------------------------------------
AInvs.ArchRetype_AI                                   67.239   399.284    13.726
AInvs.Invariants_AI                                   48.842    70.649     3.308
AInvs.ArchFinalise_AI                                 43.477   244.498    28.572
AInvs.ArchInvariants_AI                               43.091    67.951    10.705
AInvs.Ipc_AI                                          42.149   165.687    20.238
